埼玉	さいたま	[n.] Saitama (city)
あふれる		[v1.; vi.; us. kana] to overflow; to brim over; to flood
全員	ぜんいん	[advn.; n.] all members (unanimity); all hands; the whole crew; everyone; everybody
仮設	かせつ	[n.; no-n.] temporary; provisional // [suru] to do something temporarily (esp. build temporary facilities); to do something provisionally
住宅	じゅうたく	[n.] residence; housing; residential building
仮設住宅	かせつじゅうたく	[n.] temporary dwelling; temporary housing
避難所	ひなんじょ	[n.] place of refuge; shelter
熊本県	くまもとけん	[n.] Kumamoto prefecture (Kyushu)
揺れ	ゆれ	[n.] shaking; shake; jolt; jolting; vibration; tremor; flickering // [n.] unsettledness; instability; vacillating; wavering // [n.] existence of multiple spellings, pronunciations, usages, etc. for a single word
東日本	ひがしにほん,ひがしにっぽん	[n.] eastern Japan; Japan east of the Itoigawa-Shizuoka Tectonic Line, i.e. east of the Chubu region
隣	となり	[n.; no-n.] neighbor (neighbour); next to (esp. living next door to)
田んぼ	たんぼ,でんぽ	[n.] paddy field; farm
罅	ひび,あかぎれ	[n.; no-n.; us. kana] crack; fissure // [n.; us. kana] rift; split // [n.] chaps; skin fissure
ひびが入る	ひびがはいる	[phrase; v5ru.] to get cracked; to develop a crack; to be fissured
元日	がんじつ,がんにち	[n.] New Year's Day
漏れる	もれる	[v1.; vi.] to leak out; to escape; to come through; to shine through; to filter out // [n.] to find expression; to give vent // [n.] to leak out; to be divulged; to be disclosed // [n.] to be omitted; to be left out; to be excluded; to be not included
漏らす	もらす	[v5su.; vt.] to let leak; to reveal // [n.] to wet one's pants // [n.] to give utterance; to vent; to express // [n.] to omit; to leave out
木漏れ日	こもれび	[n.] sunlight filtering through trees
侘びる	わびる	[v1.; vi.] to be worried; to be grieved; to pine for
侘しい	わびしい	[adj.; us. kana] miserable; wretched; lonely; dreary; shabby; comfortless
侘び	わび	[n.] the beauty to be found in poverty and simplicity; subdued taste; quiet refinement; sober refinement; wabi
侘び寂び	わびさび,ワビサビ	[n.; us. kana] aesthetic sense in Japanese art emphasising quiet simplicity and subdued refinement
門松	かどまつ	[n.] New Year's pine decoration
招き猫	まねきねこ	[n.] beckoning cat; figure of a cat with one paw raised (usu. white porcelain)
熊手	くまで	[n.] rake; fork; bamboo rake
鏡餅	かがみもち	[n.] mirror-shaped mochi, usu. a pair stacked in order of size with a daidai on top, used as a New Year offering, then cut and eaten on January 11.
忘年会	ぼうねんかい	[n.] year-end party
新年会	しんねんかい	[n.] New Year's party
謹賀	きんが	[n.; kenjougo] wishes of happiness
謹賀新年	きんがしんねん	[phrase] Happy New Year
賀正	がしょう,がせい	[n.] A Happy New Year!
初春	しょしゅん,はつはる	[n.] beginning of spring // [n.] first month of the lunar calendar; New Year
迎春	げいしゅん	[n.] New Year's greetings
お節	おせち	[n.; abbr.] food served during the New Year's Holidays
お節料理	おせちりょうり	[n.] food served during the New Year's Holidays
蒲鉾	かまぼこ	[n.; us. kana] kamaboko; steamed seasoned fish paste, usu. in a semicylindrical shape on a strip of wood and sliced to go in soup, etc.
栗	くり,クリ	[n.; us. kana] Japanese chestnut (Castanea crenata)
金団	きんとん	[n.; us. kana] mashed sweet potatoes (incl. sweetened chestnuts or beans)
栗きんとん	くりきんとん	[n.] mashed sweet potatoes with sweetened chestnuts
金平	きんぴら	[n.; abbr.] chopped burdock root (and sometimes carrot) cooked in sugar and soy sauce
金平	かねひら,カネヒラ	[n.; us. kana] Acheilognathus rhombeus (species of cyprinid)
牛蒡	ごぼう,ごんぼ,うまふぶき,ゴボウ	[n.; us. kana] great burdock (Arctium lappa)
金平牛蒡	きんぴらごぼう	[n.] chopped burdock root (and sometimes carrot) cooked in sugar and soy sauce
黒豆	くろまめ	[n.] black soybean
お雑煮	おぞうに	[n.; teineigo] soup containing rice cakes and vegetables (New Year's dish)
七草粥	ななくさがゆ	[n.] rice gruel containing the seven plants of spring
年越し	としこし	[n.; suru] New Year's Eve; end of the year
年越しそば	としこしそば	[n.] soba noodles eaten on New Year's Eve
初夢	はつゆめ	[n.] year's first dream
書き初め	かきぞめ	[n.] first calligraphy of the year
どんど焼き	どんどやき	[n.] burning of New Year's gate decorations (usu. on the 15th day of the New Year)
始め	はじめ	[tempn.; advn.] beginning; start; outset; opening // [n.] first (in line, etc.) // [n.] origin // [us. kana] such as ...; not to mention ...
姫始め	ひめはじめ	[n.] eating the first meal of soft rice (himeii) after the traditional hard rice of New Year (kowaii) // [n.] first intercourse of the New Year // [slang] loss of virginity; loss of maidenhead
タイプミス	タイプミス,タイプ・ミス	[n.] typographical error; typo
誤字	ごじ	[n.] misprint; misspelling; typo; typographical error; erratum
変換	へんかん	[n.; suru] change; conversion; transformation; translation
誤変換	ごへんかん	[n.] misconversion
器	うつわ	[n.] bowl; vessel; container // [n.] ability; capacity; calibre; caliber
器	き	[suffix] device; instrument // [n.] vessel; container
変換器	へんかんき	[n.] converter
済み	ずみ,すみ	[sufn.; n.] arranged; taken care of; settled; completed; finished
変換済み	へんかんずみ	[phrase] (something) converted
七転び八起き	ななころびやおき,しちてんはっき	[n.; yojijukugo] the vicissitudes of life; ups and downs in life; always rising after a fall or repeated failures
妊婦	にんぷ	[n.; no-n.] pregnant woman
期間	きかん	[n.] period; term; interval
限定	げんてい	[n.; suru; no-n.] limit; restriction
期間限定	きかんげんてい	[n.; no-n.] limited time // [n.] limited-time offer
十月十日	とつきとおか	[n.] babies born on October 10, supposedly conceived on New Year's Day // [n.] normal gestation time (i.e. 9 months)
育児	いくじ	[n.; suru] childcare; nursing; upbringing
介護	かいご	[n.; suru; no-n.] nursing; care; caregiving; caring
都市ガス	としガス	[n.] town gas
玩具	おもちゃ,がんぐ,オモチャ	[n.; us. kana] toy; plaything
人目	ひとめ,じんもく	[n.] public gaze; public notice
飛行	ひこう	[n.] aviation; flight; flying // [suru] to fly; to take a flight
飛行	ひぎょう	[n.; suru] flying without hindrance
宇宙飛行	うちゅうひこう	[n.; no-n.] space flight
宇宙飛行士	うちゅうひこうし	[n.] astronaut
飛行士	ひこうし	[n.] pilot
鳥	とり	[n.] bird // [n.] bird meat (esp. chicken meat); fowl; poultry
野鳥	やちょう	[n.] wild bird
倍	ばい	[n.] twice; double // [suffix] times; -fold
二倍	にばい	[n.] double; twice; twofold
靴	くつ	[n.] shoes; boots; footwear; footgear
踏む	ふむ	[v5mu.; vt.] to step on; to tread on // [n.] to experience; to undergo // [n.] to estimate; to value; to appraise // [n.] to rhyme // [arch.] to inherit (the throne, etc.) // [n.] to follow (rules, morals, principles, etc.)
家庭	かてい	[n.; no-n.] home; family; household
電気	でんき	[n.] electricity // [n.] (electric) light
借りる	かりる	[v1.; vt.] to borrow; to have a loan // [n.] to rent; to hire
電力	でんりょく	[n.] electric power
電力会社	でんりょくがいしゃ	[n.] (electric) power company
まとめて		[phrase] in one go; all at once; altogether; all in one piece
公演	こうえん	[n.; suru] public performance // [n.] exhibition in a foreign country
記念	きねん	[n.; suru] commemoration; celebration; honoring the memory of something; turning something into a memento; memory
ほとんどの人	ほとんどのひと	[phrase] almost everyone
院長	いんちょう	[n.] director
刑務所	けいむしょ	[n.] prison; penitentiary
暴動	ぼうどう	[n.; no-n.] insurrection; rebellion; revolt; riot; uprising
授業	じゅぎょう	[n.; suru] lesson; class work; teaching; instruction
料	りょう	[sufn.; n.] fee; charge; rate // [n.] material
料	はやし	[n.; arch.] ornament; adornment; decoration
収入	しゅうにゅう	[n.] income; receipts; revenue
学生	がくせい	[n.] student (esp. a university student)
学生	がくしょう,がくそう	[n.; arch.] Heian-period student of government administration // [arch.] Buddhist scholar; researcher at a Buddhist temple; person studying Buddhism // [arch.] learning; scholarship
自動	じどう	[no-n.; n.] automatic; self-motion // [abbr.] intransitive verb
自動運転	じどううんてん	[n.] automatic operation (machine); automatic driving (vehicle)
初め	はじめ	[tempn.; advn.] beginning; start; outset; opening // [n.] first (in line, etc.) // [n.] origin // [us. kana] such as ...; not to mention ...
初め	ぞめ	[suffix] first doing of ... (ever, in one's life, in the new year, etc.)
京都市	きょうとし	[n.] Kyoto (city)
貴族	きぞく	[n.; no-n.] noble; aristocrat
鹿	しか,かせぎ,か,ろく,シカ	[n.] deer (esp. the sika deer, Cervus nippon)
鹿	しし	[n.; arch.] beast (esp. one used for its meat, such as a boar or a deer) // [abbr.] hunting (of animals such as boar, deer, etc.)
鹿	かのしし	[n.] deer meat // [arch.] deer
皮	かわ	[n.] skin; hide; pelt; fur // [n.] rind; peel; husk; bark // [n.] shell; sheath; wrapping // [n.] mask (hiding one's true nature); seeming
着る	きる	[v1.; vt.] to wear (in modern Japanese, from the shoulders down); to put on // [n.] to bear (guilt, etc.)
丸い	まるい,まろい	[adj.] round; circular; spherical // [n.] harmonious; calm
右足	みぎあし	[n.] right foot // [n.] right leg
動き	うごき	[n.] movement; move; motion // [n.] trend; development; change; fluctuation
消防	しょうぼう	[n.; suru] fire fighting // [n.] fire department; fire brigade
終点	しゅうてん	[n.] terminus; last stop (e.g. train)
郊外	こうがい	[n.; no-n.] suburb; outskirts
車止め	くるまどめ	[n.] (railway) buffer stop; bumper; bumping post
築地	ついじ	[n.] mud wall with a roof; roofed mud wall
築地	つきじ	[n.] reclaimed land
鮪	まぐろ,しび,マグロ	[n.; us. kana] tuna (edible fish, Thunnus spp.); tunny // [us. kana] Pacific bluefin tuna (edible fish, Thunnus orientalis) // [slang; vulg.; us. kana] dead lay; person who is inactive during sexual intercourse
日本中	にほんじゅう,にっぽんじゅう	[n.; no-n.] throughout Japan
土	つち,つし	[n.] earth; soil; dirt; clay; mud // [n.] the earth (historically, esp. as opposed to the heavens); the ground; the land // [n.] low-quality torinoko-gami (containing mud) // [n.] (period of) refraining from construction in the direction of the god of the earth (in Onmyōdō)
土	ど,と	[n.; abbr.] Saturday // [n.] earth (third of the five elements) // [n.; prefn.; sufn.; abbr.] Turkey
土	に	[n.; arch.] soil (esp. reddish soil)
警察庁	けいさつちょう	[n.] National Police Agency
違反	いはん	[n.; suru] violation; offense; offence; breach; transgression; infringement; contravention
違反	いへん	[n.; arch.] breaking (a contract, promise, etc.)
割合	わりあい	[adv.; n.] rate; ratio; percentage; proportion // [n.] comparatively // [n.] contrary to expectations
王宮	おうきゅう	[n.] royal palace
習う	ならう	[v5u.; vt.] to take lessons in; to be taught; to learn (from a teacher); to study (under a teacher); to get training in
図書館	としょかん,ずしょかん	[n.] library
貸す	かす	[v5su.; vt.] to lend; to loan // [n.] to rent out; to hire out
種類	しゅるい	[n.] variety; kind; type; category // [cnt.] counter for different sorts of things
押す	おす	[v5su.; vt.] to push; to press // [n.] to apply pressure from above; to press down // [n.] to stamp (i.e. a passport); to apply a seal // [n.] to affix (e.g. gold leaf) // [n.] to press (someone for something); to urge; to compel; to influence // [n.] to overwhelm; to overpower; to repress // [n.] to push (events along); to advance (a plan) // [n.] to do in spite of ...; to do even though ...; to force // [n.] to make sure // [n.] to be pressed for time // [n.] to advance troops; to attack // [n.] (of light) to be diffused across an entire surface
冊	さつ	[cnt.] counter for books // [n.; obscure] volume
冊	さく	[n.] imperial edict to confer nobility titles (in ancient China)
大人	おとな,だいにん	[n.; no-n.] adult
大人	たいじん	[n.] man of substance or virtue; gentleman // [n.] giant // [n.] adult
絵本	えほん	[n.] picture book
高速鉄道	こうそくてつどう	[n.] high-speed rail; rapid (rail) transit
台北	タイペイ	[n.] Taipei
車両	しゃりょう	[n.] rolling stock; railroad cars; wheeled vehicles
模型	もけい	[n.; no-n.] model; dummy; maquette
林	はやし	[n.] woods; forest; copse; thicket // [n.] bunch; line (of something); collection
先生	せんせい,せんじょう	[n.; sonkeigo] teacher; master; doctor // [suffix; sonkeigo] with names of teachers, etc. as an honorific // [n.; arch.] previous existence
先生	シーサン	[n.; sonkeigo] boy
老年	ろうねん	[n.; no-n.] old age
学会	がっかい	[n.] scientific society; academic meeting; academic conference
活発	かっぱつ	[adjn..; n.] vigor; vigour; active; lively
年金	ねんきん	[n.; no-n.] annuity; pension
前に進む	まえにすすむ	[phrase; v5mu.] to move forward; to move on
道路標識	どうろひょうしき	[n.] road sign; signpost
英語	えいご	[n.; no-n.] English (language)
徐行	じょこう	[n.; suru] going slowly
自転車	じてんしゃ,じでんしゃ	[n.] bicycle
世界記録	せかいきろく	[n.; suru] world record; establishing a world record (in)
挑戦	ちょうせん	[n.; suru] challenge; defiance; dare; attempt; try
代	しろ	[n.] substitution // [n.] material // [n.] price // [n.] margin (e.g. for stapling, etc.); area required for something // [arch.] shiro (unit of land area equal to one-fiftieth of a tan; ~19.83 m.sq.)
代	よ	[n.] world; society; age; generation
代	だい	[n.; sufn.] charge; cost; price // [n.] generation; age; reign // [n.] era // [n.] a representative of; on behalf of; for (someone) // [n.] used after a phone number to indicate that it is a switchboard number // [cnt.] counter for decades of ages, eras, etc. // [n.] counter for generations (of inheritors to a throne, etc.) // [abbr.] proxy application company // [n.; abbr.] pronoun
競技場	きょうぎじょう	[n.] field; stadium; grounds
黒い	くろい	[adj.] black // [n.] dark // [n.] illicit; wicked; underground
奇跡	きせき	[n.; no-n.] miracle; wonder; marvel
タオルを投げる	タオルをなげる	[phrase; v1.] to throw in the towel
赤十字	せきじゅうじ	[n.] Red Cross
赤十字社	せきじゅうじしゃ	[n.] the Red Cross
兵庫県	ひょうごけん	[n.] Hyogo prefecture (Kinki area) (Hyougo)
商売	しょうばい	[n.; suru] trade; business; commerce; transaction; occupation
上手くいく	うまくいく	[phrase; v5iku.; us. kana] to go smoothly; to turn out well; to do the trick; to have peaceful relations
朝早く	あさはやく	[adv.] early in the morning
福	ふく	[n.] good fortune
太鼓	たいこ	[n.; no-n.] drum
鳴る	なる	[v5ru.; vi.] to sound; to ring; to resound; to echo; to roar; to rumble
大学生	だいがくせい	[n.] university student; college student
年生	ねんせい	[sufn.] pupil in ... year; student in ... year
宮城	きゅうじょう	[n.; obsolete] Imperial Palace (esp. from 1888 to 1946)
体育館	たいいくかん	[n.] gymnasium
校庭	こうてい	[n.] schoolyard; campus
綺麗	きれい,キレイ	[adjn..; us. kana] pretty; lovely; beautiful; fair // [us. kana] clean; clear; pure; tidy; neat // [us. kana] completely; entirely
奇麗	きれい,キレイ	[adjn..; us. kana] pretty; lovely; beautiful; fair // [us. kana] clean; clear; pure; tidy; neat // [us. kana] completely; entirely
思い出	おもいで	[n.] memories; recollections; reminiscence
基	もと	[n.] origin; source // [n.] base; basis; foundation; root // [n.] cause // [n.] ingredient; material // [n.] (somebody's) side; (somebody's) location // [n.] original cost (or capital, principal, etc.) // [n.] (plant) root; (tree) trunk // [n.] first section of a waka // [cnt.] counter for blades of grass, tree trunks, etc., and for falcons (in falconry) // [n.] handle (chopsticks, brush, etc.); grip
基	き	[n.] group // [n.] (free) radical // [cnt.] counter for installed or mounted objects (e.g. stone lanterns, gravestones, satellites)
基	もとい	[n.; arch.] basis; foundation // [n.] cause
炉	ろ	[n.] hearth; fireplace // [n.] furnace; kiln
古い	ふるい	[adj.] old (not person); aged; ancient; antiquated; stale; threadbare; outmoded; obsolete article
大丈夫	だいじょうぶ,だいじょぶ	[adjn..] safe; all right; alright; OK; okay; sure // [adv.] certainly; surely; undoubtedly // [n.; arch.] great man; fine figure of a man
大丈夫	だいじょうふ	[n.] great man; fine figure of a man
相談	そうだん	[n.; suru] consultation; discussion
アトピー性皮膚炎	アトピーせいひふえん	[n.] atopic dermatitis
皮膚炎	ひふえん	[n.] dermatitis
たんぱく質	タンパクしつ,たんぱくしつ	[n.] protein
演説	えんぜつ	[n.; suru] speech; address
保険	ほけん	[n.; no-n.] insurance; guarantee
民主	みんしゅ	[n.] democracy; popular sovereignty // [n./prenv.] democratic
民主主義	みんしゅしゅぎ	[n.; no-n.] democracy
宗教	しゅうきょう	[n.] religion; religious affiliation; belief; faith; creed // [n.] religious activity
授業を受ける	じゅぎょうをうける	[phrase; v1.] to take a class
男の子	おとこのこ,おとこのコ	[phrase; n.] boy; male child; baby boy
男の子	おのこ	[n.; arch.] man; boy
イスラム教	イスラムきょう,イスラームきょう	[n.; no-n.] Islam
罰金	ばっきん	[n.] fine; penalty
傷つける	きずつける	[v1.; vt.] to wound; to injure // [n.] to hurt someone's feelings (pride, etc.) // [n.] to damage; to chip; to scratch
訴える	うったえる	[v1.; vt.] to raise; to bring to (someone's attention) // [n.] to appeal to (reason, emotions, etc.); to work on (one's emotions); to play on (one's sympathies) // [n.] to complain // [n.] to sue (a person); to take someone to court // [n.] to resort to (e.g. arms, violence)
人権	じんけん	[n.; no-n.] human rights; civil liberties
関係がない	かんけいがない	[phrase] unrelated; irrelevant; unconcerned; unconnected
自分の力	じぶんのちから	[phrase; n.] one's own strength or effort; (by) oneself
風呂敷	ふろしき	[n.] wrapping cloth; cloth wrapper
鞄	かばん,カバン	[n.; us. kana] bag; satchel; briefcase; basket
見せる	みせる	[v1.; vt.] to show; to display
絹	きぬ	[n.] silk
染める	そめる	[v1.; vt.] to dye; to colour; to color
首	くび,クビ	[n.] neck // [n.] head // [us. kana] dismissal; discharge; firing (from a job)
首	しゅきゅう,しるし	[n.] decapitated head of an enemy
首	しゅ	[cnt.] counter for songs and poems
首	つかさ	[n.; arch.] office; official // [n.] chief; head // [n.] (Yaeyama Islands in Okinawa) person (usually a woman) whose duty it is to officiate at religions ceremonies
首	おびと,おひと,おうと	[n.; arch.] Obito (hereditary title, often given to powerful regional families)
首	このかみ	[n.; arch.] eldest son // [arch.] older brother; older sister // [arch.] older person // [arch.] head of a clan; head of a region // [arch.] skilled craftsman
首	かしら	[n.] head (of a doll)
首	こうべ,かぶり,ず,つむり,つむ,つぶり,かぶ	[n.] head
巻く	まく	[v5ku.; vt.] to wind; to coil; to roll; to wear (e.g. turban, scarf) // [n.] to envelope; to shroud // [n.] to outflank; to skirt // [n.] to link (verse) // [v5ku.; vi.] to move ahead (three hours, etc.); to move up
柔らかい	やわらかい	[adj.] soft; tender; limp; limber // [n.] gentle; mild // [n.] informal; lighter
気持ちいい	きもちいい	[phrase; yoi-adj.] good feeling; feeling good
損	そん	[adjn..; n.; sufn.] loss; disadvantage
言い争う	いいあらそう	[v5u.; vt.] to quarrel; to dispute
江戸	えど	[n.] old name of Tokyo
画家	がか	[n.; no-n.] painter; artist
版画	はんが	[n.] woodcut; woodblock print; art print
展覧	てんらん	[n.; suru; no-n.] exhibition; show
年を取る	としをとる	[phrase; v5ru.] to grow old; to age
富嶽	ふがく	[n.] Mount Fuji; Mt. Fuji
景	かげ	[n.] shadow; silhouette; figure; shape // [n.] reflection; image // [n.] ominous sign // [n.] light (stars, moon) // [n.] trace; shadow (of one's former self)
景	けい	[n.] vista; view; scene; scenic view // [suffix; cnt.] counter for scenes (in a play)
桜	さくら,サクラ	[n.] cherry tree; cherry blossom // [n.] decoy; fake buyer; shill // [n.] hired applauder // [coll.] horse meat
花	はな	[n.] flower; blossom; bloom; petal // [n.] cherry blossom // [n.] beauty // [n.] blooming (esp. of cherry blossoms) // [n.] ikebana // [abbr.] Japanese playing cards // [n.] (the) best
咲く	さく	[v5ku.; vi.] to bloom
咲き始める	さきはじめる	[v1.] to begin blooming
頂上	ちょうじょう	[n.; no-n.] top; summit; peak
桜の木	さくらのき,サクラのき	[n.] cherry tree
光	ひかり	[n.] light
蜜蜂	みつばち,みちばち,ミツバチ	[n.; us. kana] honeybee (Apis sp.); honey bee
濃い	こい	[adj.] deep (colour); dark // [n.] strong (flavour, smell, etc.) // [n.] thick (consistency); dense // [n.] strong (possibility, etc.) // [n.] thick (i.e. "as thick as thieves"); close; deep (love, etc.)
不正コピー	ふせいコピー	[n.] illegal copy
滑る	すべる	[v5ru.; vi.] to glide; to slide (e.g. on skis); to slip // [n.] to fail (an examination); to bomb (when telling a joke) // [n.] to drop; to go down; to come down; to fall (e.g. in status)
滑る	ぬめる,なめる	[v5ru.; vi.; us. kana] to be slippery; to be slimy // [us. kana] to behave charmingly; to walk merrily
易い	やすい	[adj.] easy // [suffix; adj.; us. kana] likely to ..., have a tendency to ... // [us. kana] easy to ...
電車	でんしゃ	[n.] train; electric train
電線	でんせん	[n.] electric line; electric cable; power cable // [n.] telephone line; telegraph wire
山梨県	やまなしけん	[n.] Yamanashi prefecture (Chuubu area)
積もる	つもる	[v5ru.] to pile up; to accumulate // [n.] to estimate
排気	はいき	[n.; suru] exhaust; ventilation
排気ガス	はいきガス	[n.] exhaust fumes
中毒	ちゅうどく	[n.; suru; no-n.] poisoning // [sufn.] addiction
大雪	おおゆき,たいせつ	[n.] heavy snow // [n.] "major snow" solar term (approx. Dec. 7)
アイスバーン		[n.] icy road // [n.] frozen snow surface (e.g. on a ski slope) // [n.] skating rink
難い	かたい	[adj.] difficult; hard
難い	にくい,がたい	[suffix; adj.; us. kana] difficult to ...; hard to ...
履く	はく	[v5ku.; vt.] to put on (or wear) lower-body clothing (i.e. pants, skirt, etc.); to put on (or wear) footwear // [n.] to affix a sword to one's hip // [n.] to affix a bowstring to a bow
除雪	じょせつ	[n.; suru] snow removal
雪かき	ゆきかき	[n.; suru] snow shovel; snow plow; snow plough // [n.] snow shoveling (shovelling); snow removal
下ろす	おろす	[v5su.; vt.] to take down (e.g. flag); to launch (e.g. boat); to drop; to lower (e.g. ladder); to let (a person) off; to unload; to discharge // [n.] to drop off (a passenger from a vehicle); to let (a person) off // [n.] to withdraw money from an account // [n.] to wear (clothing) for the first time // [n.] to fillet (e.g. a fish)
被る	かぶる,かむる	[v5ru.; vt.; us. kana] to put on (one's head); to wear; to have on; to pull over (one's head); to crown (oneself) // [us. kana] to be covered with (dust, snow, etc.); to pour (water, etc.) on oneself; to dash on oneself; to ship water // [us. kana] to bear (e.g. someone's debts, faults, etc.); to take (blame); to assume (responsibility); to shoulder (burden) // [n.] to overlap (e.g. sound or color) // [n.] to be similar; to be redundant // [v5ru.; vi.] to be fogged (due to overexposure, etc.) // [n.] to close; to come to an end // [n.] to get a full house; to sell out // [arch.] to blunder; to bungle; to fail // [arch.] to be deceived
被る	こうむる	[v5ru.; vt.] to suffer; to receive; to sustain
晴れて	はれて	[phrase] openly; publicly; in public
十分	じっぷん,じゅっぷん	[n.] 10 minutes
十分	じゅうぶん	[adjn..] plenty; enough; sufficient; satisfactory; adequate // [n.; suru] division into ten // [adv.] perfectly; thoroughly; fully; in full
吹雪	ふぶき	[n.] snow storm; blizzard
厚い	あつい	[adj.] thick; deep; heavy // [n.] kind; cordial; hospitable; warm; faithful // [n.] serious (of an illness) // [n.] abundant
上着	うわぎ,じょうい	[n.] coat; tunic; jacket; outer garment
毛布	もうふ	[n.] blanket
落雪	らくせつ	[n.; suru] snowslide; small avalanche
スコップ		[n.] shovel; spade; scoop // [n.] SCOP
滑り易い	すべりやすい	[adj.] greasy; slimy; slippery
マフラー		[n.] muffler (garment, vehicle); scarf
出口	でぐち	[n.] exit; gateway; way out; outlet; leak; vent
雪崩	なだれ	[n.] avalanche; snowslide
斜面	しゃめん	[n.] slope; slanting surface; bevel
山登り	やまのぼり	[n.] mountain climbing; mountaineering
変化	へんか	[n.; suru] change; variation; alteration; mutation; transition; transformation; transfiguration; metamorphosis // [n.] variety; diversity // [n.] inflection; declension; conjugation // [n.] sidestepping
変化	へんげ	[n.; suru] goblin; ghost; apparition; bugbear
停電	ていでん	[n.; suru] power outage; electricity outage; blackout; failure of electricity supply
村	むら	[n.] village
懐中	かいちゅう	[n.; suru] one's pocket
電灯	でんとう	[n.] electric light
懐中電灯	かいちゅうでんとう	[n.] electric torch; flashlight
居酒屋	いざかや	[n.] bar; pub; tavern
煙草	たばこ,えんそう,けぶりぐさ,けむりぐさ,タバコ	[n.; us. kana] tobacco; cigarette; cigaret; cigar // [us. kana] tobacco plant (Nicotiana tabacum)
吸う	すう	[v5u.; vt.] to smoke; to breathe in; to inhale // [n.] to suck; to sip; to slurp // [n.] to absorb; to soak up // [n.] to kiss
煙草を吸う	タバコをすう,たばこをすう	[phrase; v5u.] to smoke a cigarette
厚生	こうせい	[n.] welfare; public welfare; social welfare // [abbr.] (former) Ministry of Health and Welfare
労働省	ろうどうしょう	[n.] Ministry of Labour (now Ministry of Health, Labour and Welfare)
禁煙	きんえん	[n.; suru; no-n.] abstaining from smoking; quitting smoking // [phrase] No Smoking!; Smoking Prohibited!
狭い	せまい	[adj.] narrow; confined; small
福井県	ふくいけん	[n.] Fukui prefecture (Hokuriku area)
魚	さかな,うお	[n.] fish
綱	つな	[n.] rope // [n.] grand champion's braided belt
綱	こう	[n.] class
運河	うんが	[n.] canal; waterway
吹く	ふく	[v5ku.; vt.; vi.] to blow (e.g. wind); to play a wind instrument // [n.] to emit; to spout // [n.] to whistle // [slang] to laugh; to burst into laughter // [v5ku.; vt.] to smelt; to mint // [n.] to brag; to talk big
飛び込む	とびこむ	[v5mu.; vi.] to jump in; to leap in; to plunge into; to dive // [n.] to burst in; to barge in
岸	きし	[n.] bank; coast; shore
泳ぐ	およぐ	[v5gu.; vi.] to swim
片方	かたほう	[n.; no-n.] one side; one party; counterpart; the other side; the other party // [n.] one of a pair; fellow; mate
基準	きじゅん	[n.; no-n.] standard; basis; criterion; norm; reference; datum
ベンゼン		[n.] benzene
シアン		[n.] cyan
確かめる	たしかめる	[v1.; vt.] to ascertain; to check; to make sure
踊り	おどり	[n.] dance
救急	きゅうきゅう	[n.; no-n.] first-aid; emergency (aid)
救急車	きゅうきゅうしゃ	[n.] ambulance
回数	かいすう	[n.] number of times; frequency; count
消防庁	しょうぼうちょう	[n.] Fire and Disaster Management Agency (formerly: Fire Defense Agency) (Defence)
答える	こたえる	[v1.; vi.] to answer; to reply
質問に答える	しつもんにこたえる	[phrase; v1.] to answer a question
段々	だんだん	[n.; to-adv.; adv.; us. kana] gradually; by degrees // [n.; adv.] steps; stairs; staircase; terrace
興味を持つ	きょうみをもつ	[phrase; v5tsu.] to have an interest
銀座	ぎんざ	[n.] Ginza (shopping district in Tokyo) // [n.] (Edo period) silver mint
何人	なんにん	[n.] how many? (people)
何人	なにびと,なんびと,なんぴと	[n.] everyone; every person; all; anyone
何人	なにじん	[n.; no-n.] what nationality?
何人も	なんびとも,なんぴとも	[n.] everyone; all; nobody (with negative verb)
捨てる	すてる	[v1.; vt.] to throw away; to cast away; to dump; to discard // [n.] to abandon; to desert; to leave // [n.] to give up; to resign
お金持ち	おかねもち	[n.] rich person
貧しい	まずしい	[adj.] poor; needy // [n.] lacking (quantity and quality-wise); poor; scanty; skimpy; slight; inadequate
財産	ざいさん	[n.] property; fortune; assets
兆	ちょう	[num.] 10^12; 1,000,000,000,000; trillion // [n.] sign; omen; indication; portent
中央アジア	ちゅうおうアジア	[n.] central Asia
隠れる	かくれる	[v1.; vi.] to hide; to be hidden; to conceal oneself; to disappear
阪神	はんしん	[n.] Osaka-Kobe // [n.] Hanshin (company name: railway, dept. store, baseball team, etc.)
淡路大震災	あわじだいしんさい	[n.] Great Kobe earthquake of 1995 (the epicenter was located on Awaji island)
神戸	こうべ	[n.] Kobe (port city near Osaka)
火をつける	ひをつける	[phrase; v1.] to ignite; to set fire to // [n.] to spark (an incident, etc.); to inflame (a situation, etc.)
静か	しずか	[adjn..] quiet; silent // [n.] slow; unhurried // [n.] calm; peaceful
出て行く	でていく,でてゆく	[v5iku.] to go out and away; to leave
被害を受ける	ひがいをうける	[phrase; v1.] to be damaged; to receive damage
学童	がくどう	[n.] school child; pupil
保育	ほいく	[n.; suru; no-n.] nursing; nurturing; rearing; lactation; suckling
学童保育	がくどうほいく	[n.] care of schoolchildren outside of school time
お父さん	おとうさん,おとっさん	[n.; sonkeigo] father; dad; papa; pa; pop; daddy; dada
お母さん	おかあさん	[n.; sonkeigo] mother
世話をする	せわをする	[phrase; vsuruirr.] to take care of
