大事	だいじ, おおごと	important; valuable; serious matter
建てる	たてる	[v1.; vt.] to build; to construct
議員	ぎいん	[n.] member of the Diet, congress or parliament
病気になる	びょうきになる	[phrase; v5ru.] to fall ill; to be taken ill
遅い	おそい	[adj.] slow // [n.] late (e.g. "late at night") // [n.] too late // [arch.] dull; stupid
夜遅く	よるおそく	[adv.] late at night; at a late hour
決まる	きまる	[v5ru.; vi.] to be decided; to be settled // [n.] to look good in (clothes)
弁護士	べんごし	[n.] lawyer; attorney
指	ゆび,および,おゆび	[n.] finger; toe; digit
鍋	なべ	[n.] saucepan; pot // [n.; sufn.] stew; hot pot
男	おとこ,おっこ	[n.; prefn.] man; male // [n.] fellow; guy; chap; bloke // [n.] male lover; boyfriend; man // [n.] manliness; manly honor; manly honour; manly reputation
触る	さわる	[v5ru.; vi.] to touch; to feel
店員	てんいん	[n.; no-n.] shop assistant; employee; clerk; salesperson
怖い	こわい	[adj.] scary; frightening; eerie; dreadful // [interj.] (I'm) afraid
ように言う	ようにいう	[phrase; v5u.] to tell (somebody) to (do something)
母親	ははおや	[n.; no-n.] mother
トンネル		[n.] tunnel // [suru] to tunnel (through a potential barrier) // [n.; suru] letting a grounder go through one's legs
南北	なんぼく	[n.] north and south; north to south // [abbr.] South Korea and North Korea
通る	とおる	[v5ru.; vi.] to go by; to go past; to go along; to travel along; to pass through; to use (a road); to take (a route); to go via; to go by way of // [n.] to run (between); to operate (between); to connect // [n.] to go indoors; to go into a room; to be admitted; to be shown in; to be ushered in; to come in // [n.] to penetrate; to pierce; to skewer; to go through; to come through // [n.] to permeate; to soak into; to spread throughout // [n.] to carry (e.g. of a voice); to reach far // [n.] to be passed on (e.g. of a customer's order to the kitchen); to be relayed; to be conveyed // [n.] to pass (a test, a bill in the House, etc.); to be approved; to be accepted // [n.] to go by (a name); to be known as; to be accepted as; to have a reputation for // [n.] to be coherent; to be logical; to be reasonable; to be comprehensible; to be understandable; to make sense // [n.] to get across (e.g. of one's point); to be understood // [n.] to be straight (e.g. wood grain) // [arch.] to be well-informed; to be wise // [suffix; v5ru.] to do ... completely; to do ... thoroughly
長さ	ながさ	[n.] length
北側	きたがわ,ほくそく	[n.] north side; north bank
中央駅	ちゅうおうえき	[n.] central station
南側	みなみがわ,なんそく	[n.] south side
と考えられる	とかんがえられる	[phrase; v1.] one can think that ...; it is conceivable that ...
教える	おしえる	[v1.; vt.] to teach; to instruct // [n.] to tell; to inform // [n.] to preach
目	め	[n.] eye; eyeball // [n.] eyesight; sight; vision // [n.] look; stare; glance // [n.] an experience // [n.] viewpoint // [n.] stitch; texture; weave // [suffix] ordinal number suffix // [n.] somewhat; -ish
見える	みえる	[v1.; vi.] to be seen; to be in sight // [n.] to look; to seem; to appear // [sonkeigo] to come
目が見える	めがみえる	[phrase; v1.] to be able to see (oft. used in the negative)
転がる	ころがる	[v5ru.; vi.] to roll; to tumble // [n.] to fall over; to roll over // [n.] to lie down // [n.] to be scattered about; to be common // [n.] (of a situation or outcome) to change; to turn out
音	おと,ね,おん	[n.; sufn.] sound; noise; report // [n.] note // [n.] fame // [n.] Chinese-derived character reading
代表	だいひょう	[n.; suru; no-n.] representative; representation; delegation; type; example; model
若い	わかい	[adj.] young; youthful // [n.] immature; green // [n.] low (number); small
声	こえ	[n.] voice
声を出す	こえをだす	[phrase; v5su.] to speak; to say; to vocalize
知らせる	しらせる	[v1.; vt.] to notify; to advise; to inform
初めて	はじめて	[adv.; no-n.] for the first time // [adv.] only after ... is it ...; only when ... do you ...
総理	そうり	[n.; abbr.] prime minister (as the head of a cabinet government); premier // [n.; suru] leading; overseeing; leader; overseer; president
北方領土	ほっぽうりょうど	[n.] the Northern Territories
山口県	やまぐちけん	[n.] Yamaguchi prefecture (Chuugoku area)
旅館	りょかん	[n.] ryokan; Japanese-style lodging, usu. professionally-run
話	はなし	[n.] talk; speech; chat; story; conversation // [n.] discussions; negotiation; argument
話	わ	[cnt.] counter for stories, episodes of TV series, etc.
話をする	はなしをする	[phrase; vsuruirr.] to have a talk; to tell a story
続けて	つづけて	[adv.] successively; continuously; in a row
島	しま	[n.] island // [us. kana] territory (of a prostitute, organized crime gang, etc.); turf
医療	いりょう	[n.; no-n.] medical care; medical treatment
制度	せいど	[n.; no-n.] system; institution; organization; organisation
次	つぎ	[n.; no-n.] next; following; subsequent // [n.] stage; station
大戦	たいせん	[n.] great war; great battle
行く	いく,ゆく	[v5iku.; vi.] to go; to move (in a direction or towards a specific location); to head (towards); to be transported (towards); to reach // [n.] to proceed; to take place // [n.] to pass through; to come and go // [n.] to walk // [n.] to die; to pass away // [n.] to do (in a specific way) // [n.] to stream; to flow // [auxv.] to continue // [v5iku.; vi.; us. kana] to have an orgasm; to come; to cum // [us. kana; slang] to trip; to get high; to have a drug-induced hallucination
自由に	じゆうに	[adv.] freely
できるだけ早く	できるだけはやく	[phrase] as soon as possible
受け付け	うけつけ	[n.] reception (desk); information desk // [n.; suru] receipt; acceptance
郵便	ゆうびん	[n.] mail service; postal service; mail; post // [abbr.] mail; postal matter; postal items
葉書	はがき,ハガキ	[n.; abbr.; us. kana] postcard // [us. kana] memo; note; card
億	おく	[num.] 10^8; 100,000,000; hundred million
少なくなる	すくなくなる	[phrase; v5ru.; vi.] to lessen; to decrease; to diminish
籤	くじ	[n.; us. kana] lottery; lot
買う	かう	[v5u.; vt.] to buy; to purchase // [n.] to value; to have a high opinion // [n.] to stir; to provoke
続く	つづく	[v5ku.; vi.] to continue; to last; to go on // [n.] to continue (without a break); to be unbroken // [n.] to occur again and again // [n.] to lead to; to connect to; to adjoin // [n.] to come after; to follow; to succeed; to rank next to // [n.] to hold out; to keep; to last
続いて	つづいて	[conj.] subsequently; next // [phrase] after ...; following ...; in the wake of ...
激しい	はげしい	[adj.] violent; furious; tempestuous // [n.] extreme; intense; fierce; strong // [n.] fervent; vehement // [n.] incessant; relentless // [arch.] precipitous; steep
死ぬ	しぬ	[v5nu.; vnuirr.; vi.; sensitive] to die; to pass away // [n.] to lose spirit; to lose vigor; to look dead // [n.] to cease; to stop
逃げる	にげる	[v1.; vi.] to escape; to run away
逃がす	にがす	[v5su.; vt.] to miss; to lose; to give away; to let go; to set free; to let get away
外	そと,と	[n.] outside; exterior // [n.] open air // [n.] other place
歴史	れきし	[n.; no-n.] history
勉強	べんきょう	[n.; suru] study // [n.] diligence // [n.] discount; reduction
試験勉強	しけんべんきょう	[n.; suru] studying for a test
高校生	こうこうせい	[n.] senior high school student
大学	だいがく	[n.] post-secondary education institution, incl. university, college, etc. // [abbr.] former central university of Kyoto (established under the ritsuryo system for the training of government administrators) // [n.] the Great Learning (one of the Four Books)
入学	にゅうがく	[n.; suru] entry to school or university; matriculation; enrolment (in university, etc.)
本	ほん	[n.] book; volume; script // [pref.] this; present // [n.] main; head // [n.] real; regular // [suffix; cnt.] counter for long cylindrical things; counter for films, TV shows, etc.; counter for goals, home runs, etc.; counter for telephone calls
売り出す	うりだす	[v5su.; vt.] to put on the market; to put out for sale; to put on sale; to begin selling; to market // [v5su.; vi.] to become popular
売れる	うれる	[v1.; vi.] to sell (well) // [n.] to be well known; to be popular; to be famous
持って行く	もっていく,もってゆく	[phrase; v5iku.] to take; to carry (something) away; to bear
小学生	しょうがくせい	[n.] elementary school student; primary school student; grade school student
中学生	ちゅうがくせい	[n.] junior high school student; middle school pupil
試験を受ける	しけんをうける	[phrase; v1.] to sit for an examination
難しい	むずかしい,むつかしい	[adj.] difficult; hard; troublesome; complicated; serious (disease, problem, etc.) // [n.] fussy; particular; fastidious; hard to please; displeased // [n.] gloomy; glum; sullen; serious (look) // [arch.] dirty; unclean; filthy; detestable // [arch.] unpleasant; uncomfortable; creepy; spooky
言葉	ことば,けとば	[n.] language; dialect // [n.] word; words; phrase; term; expression; remark // [n.] speech; (manner of) speaking
送付	そうふ	[n.; suru] sending (esp. email attachments); forwarding; remitting
御	お,ご	[pref.; sonkeigo; teineigo; kenjougo; us. kana] honorific/polite/humble prefix // [suffix; sonkeigo] honorific suffix
山	やま	[n.; cnt.] mountain; hill // [n.] mine (e.g. coal mine) // [n.] heap; pile // [n.] crown (of a hat); thread (of a screw); tread (of a tire); protruding part of an object // [n.] climax; peak; critical point // [n.] guess; speculation // [n.] criminal case; crime // [n.] mountain climbing; mountaineering // [n.] festival float (esp. one mounted with a decorative halberd) // [n.] wall; wall tile // [arch.] temple; temple grounds // [prefn.] wild
先日	せんじつ	[advn.; tempn.] the other day; a few days ago
不足	ふそく	[adjn..; n.; suru] insufficiency; shortage; deficiency; lack; dearth
申し訳	もうしわけ	[n.; suru] apology; excuse
申し訳ありません	もうしわけありません	[phrase] I'm sorry; (it's) inexcusable // [n.] thank you very much (for help, etc.)
不明	ふめい	[adjn..; n.] unknown; obscure; indistinct; uncertain; ambiguous // [n.] anonymous; unidentified // [n.] ignorant; lack of wisdom
点	てん	[n.; sufn.] spot; mark // [n.] point; dot // [n.] mark (e.g. in exam); score; points // [n.] comma // [n.] aspect; matter; respect // [cnt.] counter for goods, items, articles of clothing, works of art, etc.
気軽	きがる	[adjn..] carefree; buoyant; lighthearted; sprightly // [n.] ease
気軽に	きがるに	[adv.] freely; readily; cheerfully; without any sense of hesitation; without reserve; without treating it as a big deal; casually
今後とも	こんごとも	[advn.] from now on
宜しい	よろしい	[adj.; us. kana; sonkeigo] good; OK; all right; fine; very well; will do; may; can
宜しくお願いします	よろしくおねがいします	[phrase] please remember me; please help me; please treat me well; I look forward to working with you
お願いします	おねがいします	[phrase; kenjougo] please
防衛	ぼうえい	[n.; suru] defense; defence; protection; self-defense; self-defence
省	しょう	[n.; sufn.] ministry; department // [n.] province (of China) // [prefn.] saving; conserving
防衛省	ぼうえいしょう	[n.] Ministry of Defense (formerly Japan Defense Agency)
はっきり	はっきり,ハッキリ	[adv.; to-adv.; ono.] clearly; plainly; distinctly // [suru] to be clear; to be definite; to be certain; to be exact; to become clear; to clear up
区	く	[n.] ward; district; section
掻く	かく	[v5ku.; vt.; us. kana] to scratch // [n.] to perspire // [n.] to shovel; to paddle
画	かく	stroke (of a kanji, etc.)
斯く	かく	[adv.; no-n.; us. kana] like this; such; thus; in this way
斯くて	かくて	[adv.; conj.; us. kana] thus; in this way
配る	くばる	[v5ru.; vt.] to distribute; to deliver; to deal (cards)
薄い	うすい	[adj.] thin // [n.] pale; light // [n.] watery; dilute; sparse // [n.] weak (taste, etc.) // [n.] slim (probability, etc.); small
灰色	はいいろ	[n.; no-n.] grey; gray; ashen
袖	そで	[n.] sleeve // [n.] wing (of a stage, desk, gate, etc.)
紫	むらさき	[n.] purple; violet // [us. kana] Lithospermum erythrorhizon (species of gromwell) // [n.] type of soy sauce
服	ふく	[n.; sufn.] clothes (esp. Western clothes) // [suffix; cnt.] counter for doses of medicine, gulps of tea, drags of a cigarette, etc.
小さな	ちいさな	[pren.] small; little; tiny
署	しょ	[n.; abbr.] station (esp. a police station); office (i.e. tax office)
警察署	けいさつしょ	[n.] police station
番号	ばんごう	[n.] number; series of digits
本当	ほんとう,ほんと,ホント,ホントー,ホントウ	[no-n.; adjn..; adv.; n.] truth; reality; actuality; fact // [no-n.; adjn..; adv.] proper; right; correct; official // [n.] genuine; authentic; natural; veritable
選挙	せんきょ	[n.; suru; no-n.] election
候補	こうほ	[n.] candidate; contender; prospect; pick; choice; list // [n.] candidacy; candidature; nomination
専門	せんもん	[n.; no-n.] speciality; specialty; subject of study; expert; area of expertise
付ける	つける	[v1.; vt.] to attach; to join; to add; to append; to affix; to stick; to glue; to fasten; to sew on; to apply (ointment) // [n.] to furnish (a house with) // [n.] to wear; to put on // [n.] to keep a diary; to make an entry // [n.] to appraise; to set (a price) // [n.] to allot; to budget; to assign // [n.] to bring alongside // [n.] to place (under guard or doctor) // [n.] to follow; to shadow // [n.] to load; to give (courage to) // [n.] to keep (an eye on) // [n.] to establish (relations or understanding) // [n.] to turn on (light) // [n.] to produce flowers; to produce fruit
毎日	まいにち	[advn.; tempn.] every day
午前	ごぜん	[advn.; tempn.] morning; a.m.
給料	きゅうりょう	[n.] salary; wages
過ごす	すごす	[v5su.; vt.] to pass (time); to spend // [n.] to overdo (esp. of one's alcohol consumption); to drink (alcohol) // [arch.] to take care of; to support // [suffix; v5su.] to overdo; to do too much // [n.] to ... without acting on it
奈良	なら	[n.] Nara (city)
南瓜	かぼちゃ,ぼうぶら,なんか,カボチャ	[n.; us. kana] pumpkin (Cucurbita sp.); squash
冬至	とうじ	[n.; no-n.] winter solstice
近い	ちかい	[adj.] near; close; short (distance)
日曜日	にちようび	[advn.; tempn.] Sunday
杯	はい,はた	[n.] sake cup; cup for alcoholic beverages // [suffix; cnt.] counter for cupfuls // [n.] counter for ships, octopuses and squid
早くから	はやくから	[phrase] early on; earlier on; from early
便利	べんり	[adjn..] convenient; handy; useful
外国	がいこく,そとぐに	[n.; no-n.] foreign country
自動車	じどうしゃ	[n.] automobile
高さ	たかさ	[n.] height; altitude; elevation; level
春	はる	[advn.; tempn.] spring; springtime // [n.] New Year // [n.] prime (of one's life, etc.) // [n.] adolescence; puberty // [n.] sexuality
低い	ひくい	[adj.] low (rank, degree, value, content, quality, etc.) // [n.] low (position); close to the ground // [n.] short (height) // [n.] deep (voice); in a low key; low (volume)
降りる	おりる	[v1.; vi.] to descend (e.g. a mountain); to go down; to come down // [n.] to alight (e.g. from bus); to get off; to disembark; to dismount // [n.] to step down; to retire; to give up; to quit // [n.] to be granted; to be issued; to be given // [n.] to form (of frost, dew, mist, etc.) // [n.] to be passed (from the body; e.g. of a roundworm)
日産	にっさん	[n.] daily output // [abbr.] Nissan (Japanese car company)
去年	きょねん,こぞ	[advn.; tempn.] last year
横に	よこに	[adv.] horizontally; flat // [n.] across; crossways; crosswise; sideways; abreast
広島	ひろしま,ヒロシマ	[n.] Hiroshima (city) // [n.] atomic bombing of Hiroshima
お礼	おれい,おんれい	[n.; teineigo] thanks; gratitude // [teineigo] manners; etiquette // [teineigo] bow // [teineigo] reward; gift // [teineigo] ceremony; ritual
手紙	てがみ	[n.; no-n.] letter
大使館	たいしかん	[n.] embassy
喜んで	よろこんで	[adv.] with pleasure ...
今月	こんげつ	[advn.; tempn.] this month
明るい	あかるい	[adj.] bright; colourful // [n.] cheerful // [n.] familiar (with); knowledgeable (about) // [n.] fair (e.g. politics); clean
頑張る	がんばる	[v5ru.; vi.] to persevere; to persist; to keep at it; to hang on; to hold out; to do one's best // [n.] to insist that; to stick to (one's opinion) // [n.] to remain in a place; to stick to one's post; to refuse to budge
頑張って	がんばって	[phrase] do your best; go for it; hold on; keep at it
走り続ける	はしりつづける	[v1.] to keep running
昼	ひる	[advn.; tempn.] noon; midday // [n.] daytime // [n.] lunch
運	うん	[n.] fortune; luck
転	てん	[n.] altering pronunciation or meaning; word with altered pronunciation or meaning // [abbr.] turning or twisting part of a text (in Chinese poetry)
転	くるり	[adv.; to-adv.; us. kana; ono.] turning around (once) // [n.] suddenly; abruptly // [n.] completely (wrapped in something); quickly (unwrapping something) // [n.] beautiful, round (eyes) // [n.; abbr.] flail (for threshing grain)
テレビ局	テレビきょく	[n.] television station
映画	えいが	[n.; no-n.] movie; film
名	な	[n.] name; given name // [n.] title // [n.] fame; renown; reputation // [n.] pretext; pretense; justification; appearance
上映	じょうえい	[n.] screening (a movie); showing // [suru] to screen a movie
円	えん	[n.] yen; Japanese monetary unit // [n.] circle
週間	しゅうかん	[cnt.] weeks (period of)
空間	くうかん	[n.] space; room; airspace
宇宙空間	うちゅうくうかん	[n.; no-n.] outer space; void of space
観測	かんそく	[n.; suru] observation; survey; measurement
観測所	かんそくじょ	[n.] observatory; observation post
故障	こしょう	[n.; suru] breakdown; failure; fault; accident; out of order // [n.] damage; hurt // [n.] objection; protest
外国人	がいこくじん	[n.] foreigner; foreign citizen; foreign national; alien; non-Japanese
国土	こくど,くにつち	[n.] country; territory; domain; realm
国土交通省	こくどこうつうしょう	[n.] Ministry of Land, Infrastructure, Transport and Tourism
安い	やすい	[adj.] cheap; inexpensive // [n.] calm; peaceful; quiet
戦士	せんし	[n.] soldier; combatant; warrior
通信	つうしん	[n.; suru] correspondence; communication; transmission; news; signal; telecommunications
社	やしろ	[n.] shrine (usually Shinto)
社	しゃ	[n.; sufn.; abbr.] company; association; society // [n.] regional Chinese god of the earth (or a village built in its honour) // [cnt.; suffix] counter for companies, shrines, etc.
通信社	つうしんしゃ	[n.] news agency
大分	だいぶ,だいぶん	[adv.; us. kana] considerably; greatly; a lot
お菓子	おかし	[n.] confections; sweets; candy
雪	ゆき	[n.] snow
車	くるま	[n.] car; automobile; vehicle // [n.] wheel
先	さき	[n.; no-n.; sufn.; pref.] previous; prior; former; first; earlier; some time ago; preceding // [n.] point (e.g. pencil); tip; end; nozzle // [n.] head (of a line); front // [n.] ahead; the other side // [n.] the future; hereafter // [n.] destination // [n.] the other party
先月	せんげつ	[advn.; tempn.] last month
始めて	はじめて	[adv.; no-n.] for the first time // [adv.] only after ... is it ...; only when ... do you ...
投げる	なげる	[v1.; vt.] to throw; to cast away // [n.] to face defeat; to give up
次に	つぎに	[conj.] next; then; after that
急に	きゅうに	[adv.] swiftly; rapidly // [n.] suddenly; abruptly; immediately
税金	ぜいきん	[n.] tax; duty
銀行	ぎんこう	[n.; no-n.] bank
急いで	いそいで	[phrase] hurriedly
困る	こまる	[v5ru.; vi.] to be troubled; to be worried; to be bothered; to be embarrassed; to be stumped
滑走	かっそう	[n.; suru] gliding; sliding; skating (on ice); glide; slide // [n.] taxiing (aircraft); making a takeoff run
着物	きもの	[n.] clothing; clothes // [n.] kimono (or other trad. Japanese clothing)
互い	たがい	[n.] mutual; reciprocal
弱い	よわい	[adj.] weak; frail; delicate; tender; unskilled; weak (wine)
弱くする	よわくする	[phrase; vsuruirr.] to turn down (heat, sound, etc.)
星	ほし	[n.] star; any light-emitting (or reflecting) heavenly body (except for the sun and the moon) // [slang] offender; perpetrator // [n.] star point (in go); hoshi; intersection marked with a dot // [n.] circular symbol (said to be shaped like a shining star) // [n.] bullseye // [n.] one's star (out of the nine stars); the star that determines one's fate // [n.] small dot; spot // [n.] point; score
察し	さっし	[n.] consideration; guess; conjecture; judgment; judgement
引く	ひく	[v5ku.; vi.; vt.] to pull // [n.] to draw (attention, etc.); to attract (interest, etc.) // [n.] to draw back // [n.] to draw (a card) // [n.] to draw (plan, line, etc.) // [n.] to catch (cold) // [n.] to play (string instr.) // [n.] to look up (e.g. dictionary); to consult // [v5ku.; vt.] to haul; to pull (vehicles) // [n.] to subtract // [n.] to ebb; to fade // [n.] to descend (from); to inherit (a characteristic) // [n.] to quote; to raise (as evidence) // [n.] to lay (a cable); to draw (a cable)
方	かた	[n.] direction; way // [sonkeigo] person; lady; gentleman // [n.; sufn.] method of; manner of; way of // [sufn.] care of .. // [n.] person in charge of .. // [n.] side (e.g. "on my mother's side")
者	もの,もん	[n.] person
上げる	あげる	[v1.; vt.] to raise; to elevate // [n.] to do up (one's hair) // [n.] to fly (a kite, etc.); to launch (fireworks, etc.); to surface (a submarine, etc.) // [n.] to land (a boat) // [n.] to deep-fry // [n.] to show someone (into a room) // [us. kana] to summon (for geishas, etc.) // [n.] to send someone (away) // [n.] to enrol (one's child in school); to enroll // [n.] to increase (price, quality, status, etc.); to develop (talent, skill); to improve // [n.] to make (a loud sound); to raise (one's voice) // [n.] to earn (something desirable) // [n.] to praise // [n.] to give (an example, etc.); to cite // [n.] to summon up (all of one's energy, etc.) // [n.] to arrest // [n.] to nominate // [teineigo] to give // [n.] to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.) // [n.] to bear (a child) // [n.] to conduct (a ceremony, esp. a wedding) // [v1.; vi.] (of the tide) to come in // [v1.; vi.; vt.] to vomit // [auxv.; v1.; us. kana; teineigo] to do for (the sake of someone else) // [n.] to complete ... // [kenjougo] to humbly do ...
南	みなみ	[n.] south
西	にし	[n.] west
北	きた	[n.] north // [n.] the North; northern territories // [abbr.] North Korea // [arch.] north wind
食品	しょくひん	[n.] food; food products; foodstuffs
切れる	きれる	[v1.; vi.] to break; to snap; to be cut; to split; to crack // [n.] to be injured // [n.] to wear out; to be worn out // [n.] to break; to burst; to collapse // [n.] to wear off; to stop working; to go dead // [n.] to expire (time limit, etc.); to run out; to become due // [n.] to run out (of stock, etc.); to be exhausted; to be used up; to be sold out; to be out of // [n.] to be broken off (e.g. of a relationship); to break up; to have severed ties; to be cut off; to be disconnected // [n.] to cut well; to be sharp // [n.] to be sharp-minded; to be keen; to be shrewd; to be quick-witted; to be able // [n.] to be short of; to drop under (a certain figure); to beat (e.g. a record time) // [n.] to dry off // [n.] to curve; to veer // [n.] to shuffle (cards) // [coll.] to get angry; to snap; to blow one's top; to lose one's temper; to flip // [auxv.; v1.; us. kana] to be able to do completely
期限が切れる	きげんがきれる	[phrase; v1.] to have a time-limit expire; to pass a deadline; to pass an expiration date
過ぎる	すぎる	[v1.; vi.] to pass through; to pass by; to go beyond // [n.] to pass (i.e. of time); to elapse // [n.] to have expired; to have ended; to be over // [n.] to exceed; to surpass; to be above // [n.] to be no more than ... // [v1.; vi.; suffix; us. kana] to be excessive; to be too much; to be too ...
過ぎる	よぎる	[v5ru.; us. kana] to go by; to cross; to pass by; to float across
米	こめ,よね,めめ,コメ	[n.] (husked grains of) rice // [n.] 88 years old
原子力発電	げんしりょくはつでん	[n.] nuclear power generation; nuclear electricity generation
牛肉	ぎゅうにく	[n.] beef
地方	ちほう	[n.; no-n.] district; region; area; locality // [n.] the country; countryside; the provinces; rural area
年度	ねんど	[n.; sufn.] fiscal year (usu. April 1 to March 31 in Japan); financial year // [n.] academic year; school year // [n.] product year
計画を進める	けいかくをすすめる	[phrase; v1.] to carry a plan forward
雷	かみなり,いかずち,いかづち,らい	[n.] lightning; thunder; thunderbolt // [n.] god of thunder; god of lightning // [n.] anger; fit of anger
雷が落ちる	かみなりがおちる	[phrase; v1.] to be struck by lightning // [n.] to be yelled at (by someone of higher status); to be scolded harshly
雲	くも	[n.] cloud
土地	とち,どおじ,どじ,どち	[n.] plot of land; lot; soil // [n.] locality; region; place
返す	かえす	[v5su.; vt.] to return (something); to restore; to put back // [n.] to turn over; to turn upside down; to overturn // [n.] to pay back; to retaliate; to reciprocate // [suffix; v5su.] to repeat ...; to do ... back
北部	ほくぶ	[n.; no-n.] northern part; the north (of a region)
物	もの,もん	[n.] thing; object; article; stuff; substance // [n.] one's things; possessions; property; belongings // [n.] things; something; anything; everything; nothing // [n.] quality // [n.] reason; the way of things // [us. kana] used to emphasize emotion, judgment, etc.; used to indicate a common occurrence in the past (after a verb in past tense); used to indicate a general tendency; used to indicate something that should happen // [sufn.] item classified as ...; item related to ...; work of ... // [n.] cause of ...; cause for ... // [pref.] somehow; somewhat; for some reason // [n.] really; truly
持ち主	もちぬし	[n.] owner; proprietor; possessor (e.g. of talent, beauty, etc.)
公園	こうえん	[n.] (public) park
国立公園	こくりつこうえん	[n.] national park
世界自然遺産	せかいしぜんいさん	[n.] world natural heritage site
自然遺産	しぜんいさん	[n.] natural heritage; natural heritage site
お腹	おなか	[n.; teineigo] stomach
何度も	なんども	[adv.] many times over; often
下痢	げり	[n.; suru; no-n.] diarrhoea; diarrhea
遺伝子	いでんし	[n.] gene // [n./prenv.; no-n.] genetic
洗う	あらう	[v5u.; vt.] to wash // [n.] to investigate
手袋	てぶくろ	[n.] glove; mitten; mitt
暗号	あんごう	[n.; no-n.] code; password; cipher
欄	らん	[n.; sufn.] column of text (e.g. in a newspaper) // [n.] field (in a form, web page, etc.)
コメント欄	コメントらん	[n.] comment field (e.g. on a blog)
宛	あて	[n.] aim; object; purpose; end // [n.] expectations; prospects; hopes // [n.] something that can be relied upon // [n.] snack served with alcoholic drink // [sufn.] pad; guard // [sufn.; prefn.] blow; strike // [suffix] addressed to // [us. kana] per
添付	てんぷ	[n.; suru; no-n.] attachment (e.g. email); appendix (e.g. of a report, document, etc); annex; appendage; annexure
食う	くう	[v5u.; vt.; male] to eat // [n.] to live; to make a living; to survive // [n.] to bite; to sting (as insects do) // [n.] to tease; to torment; to taunt; to make light of; to make fun of // [n.] to encroach on; to eat into; to consume // [n.] to defeat a superior; to threaten a position // [n.] to consume time and-or resources // [coll.] to receive something (usu. an unfavourable event) // [male; vulg.] to have sexual relations with a woman, esp. for the first time
意味	いみ	[n.; suru] meaning; significance
応答	おうとう	[n.; suru] reply; answer; response
不具合	ふぐあい	[n.; adjn..] flaw; defect; problem; bug; malfunction; failure; discrepancy // [adjn..] inconvenient
騙す	だます	[v5su.; vt.] to trick; to cheat; to deceive // [n.] to coax; to wheedle; to soothe and humor (humour)
騙し騙し	だましだまし	[n.; suru] using every trick (in the book)
到頭	とうとう	[adv.; us. kana] finally; at last; ultimately; in the end
鼕々	とうとう	[taru adj.; to-adv.; us. kana] sound of bells or drums reverberating // [us. kana] sound of water or waves resounding
多分	たぶん	[adv.] perhaps; probably // [adjn..; no-n.] generous; many; much; great
差し替える	さしかえる	[v1.; vt.] to change; to replace
覚える	おぼえる	[v1.; vt.] to memorize; to memorise; to commit to memory; to learn by heart; to bear in mind; to remember // [n.] to learn; to pick up; to acquire // [n.] to feel // [n.] to think; to regard
面倒くさい	めんどくさい,めんどうくさい	[adj.; us. kana] bothersome; tiresome; bother to do
仕方	しかた	[n.] way; method; means; resource; course
開ける	あける	[v1.; vt.] to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock // [n.] to open (for business, etc.) // [n.] to empty; to remove; to make space; to make room // [n.] to move out; to clear out // [n.] to be away from (e.g. one's house); to leave (temporarily) // [v1.; vi.] to dawn; to grow light // [n.] to end (of a period, season) // [n.] to begin (of the New Year) // [n.] to leave (one's schedule) open; to make time (for) // [n.] to make (a hole); to open up (a hole)
無関心	むかんしん	[adjn..; n.] apathetic; indifferent
昨日	きのう,さくじつ	[advn.; tempn.] yesterday
寝る	ねる	[v1.; vi.] to lie down // [n.] to go to bed; to lie in bed // [n.] to sleep (lying down) // [n.] to sleep (with someone, i.e. have intercourse) // [n.] to lie idle
今朝	けさ,こんちょう	[tempn.] this morning
寒気	さむけ,かんき	[n.] chill; the shivers; shivering fit // [n.] cold; coldness; cold air
飲む	のむ	[v5mu.; vt.] to drink; to gulp; to swallow; to take (medicine) // [n.] to smoke (tobacco) // [n.] to engulf; to overwhelm // [n.] to keep down; to suppress // [n.] to accept (e.g. demand, condition) // [n.] to make light of; to conceal
寝入る	ねいる	[v5ru.; vi.] to fall asleep
一寝入り	ひとねいり	[n.; suru] nap
良い	よい	[adj.; us. kana] good; excellent; fine; nice; pleasant; agreeable // [n.] sufficient (can be used to turn down an offer); ready; prepared // [n.] profitable (e.g. deal, business offer, etc.); beneficial // [n.] OK
疲れ	つかれ	[n.] tiredness; fatigue
溜まる	たまる	[v5ru.; vi.; us. kana] to collect; to gather; to save; to accumulate; to pile up
公休	こうきゅう	[n.] legal holiday
脈絡	みゃくらく	[n.] chain of reasoning; logical connection; coherence; context
夕方	ゆうがた	[advn.; tempn.] evening; dusk
空	そら	[n.] sky; the air; the heavens // [n.] weather // [n.] far-off place; distant place // [n.] state of mind; feeling // [n.] (from) memory; (by) heart // [n.] falsehood; lie // [prefn.] somehow; vaguely // [n.] fake
津波	つなみ	[n.] tsunami; tidal wave
思わず	おもわず	[adv.] unintentionally; reflexively; spontaneously; involuntarily; instinctively
今回	こんかい	[advn.; tempn.] now; this time; lately
駐車	ちゅうしゃ	[n.; suru; no-n.] parking (e.g. car)
駐車場	ちゅうしゃじょう	[n.] parking lot; parking place
両隣	りょうどなり	[n.] both sides
小っちゃい	ちっちゃい	[adj.; us. kana] tiny; little; wee
仕事中	しごとちゅう	[n.] at work; in the midst of work; working
最終	さいしゅう	[n.; no-n.] last; final; closing
